StudyID,Drug_Name,Arm_ID,Date_End,Results_Posted_Or_Updated_Date,Study_Status,Outcome,Termination,No_Amendment,No_Substan_Amend,No_Sub_Screen,No_Sub_Enroll,Screen_Failure,Reasons_Screen_Fail,Enroll_Rate,Time_FPI,Prop_Center_Enroll_Target,Completer,Withdrawer,Discont_AE,Discont_LE,Loss_FU,Protocol_Viol,Treat_Adherence,Visit_Adherence,Assess_Adherence,Med_Treat,Med_Follow_Up,Discont,Med_Discont,Missing_All,Missing_PE,Missing_Key_SE,Med_Age,Min_Age,Max_Age,Prop_NA,Prop_AP,Prop_EU,Prop_AF,Prop_White,Prop_Asian,Prop_Black,Prop_Male,Heter_Index,Prop_Renal,Prop_Hepatic,Prop_HighRisk,Line0,Line1,Line2,Line3,Lapsed,Refractory,Prop_ECOG0,Prop_ECOG1,Prop_ECOG2,Prop_ECOG3,TEAEs,TRAEs,SAEs,Grade34_TEAEs,Grade34_TRAEs,AE_Spec,Inc_TEAES,Inc_Grade34_TEAEs,Grade34_Lab,Death_rate,No_Dosage,Dosage_Level,Dosing_Frequency,Cycle_Length,Formulation,group_id_raw,group_title_raw,group_desc_raw,N_group,count_male,count_female,count_white,count_black,count_asian,count_other,Missing_K
NCT02039674,,NCT02039674_P1,"October 18, 2021","December 2, 2017",Completed,,,,,,13,,,,,,,,,,,,,,,,,,,,,,64.5,18,,,,,,,,,0.6154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,Part1CohortA2 (Pembro 2 mg/kg+Paclitaxel [Pa]+Carboplatin [C]),Cohort A2 participants received pembrolizumab (Pembro 2 mg/kg) via intravenous (IV) infusion on Day 1 of each 3-week cycle PLUS paclitaxel (Pa 200 mg/m^2) via IV infusion on Day 1 of each 3-week cycle PLUS carboplatin (C Area Under the Curve [AUC] 6 [6 mg/mL/min]) via IV infusion on Day 1 of each 3-week cycle.,13,8,5,,,,,8
NCT02039674,,NCT02039674_P2,"October 18, 2021","December 2, 2017",Completed,,,,,,12,,,,,,,,,,,,,,,,,,,,,,61.4,18,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,Part1CohortA10 (Pembro10mg/kg+Pa+C),Cohort A10 participants received pembrolizumab (Pembro 10 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS paclitaxel (Pa 200 mg/m^2) via IV infusion on Day 1 of each 3-week cycle PLUS carboplatin (C AUC 6 [6 mg/mL/min]) via IV infusion on Day 1 of each 3-week cycle.,12,4,8,,,,,8
NCT02039674,Pembrolizumab; Paclitaxel; Carboplatin; Bevacizumab,NCT02039674_A2,"October 18, 2021","December 2, 2017",Completed,,,,,,12,,,,,,,,,,,,,,,,,,,,,,61.2,18,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,Part 1 Cohort B2 (Pembro 2mg/kg+Pa+C+Bevacizumab [B]),Cohort B2 participants received pembrolizumab (Pembro 2 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS paclitaxel (Pa 200 mg/m^2) via IV infusion on Day 1 of each 3-week cycle PLUS carboplatin (C AUC 6 [6 mg/mL/min]) via IV infusion on Day 1 of each 3-week cycle PLUS bevacizumab (B 15 mg/kg) via IV infusion on Day 1 of each 3-week cycle.,12,6,6,,,,,8
NCT02039674,,NCT02039674_P4,"October 18, 2021","December 2, 2017",Completed,,,,,,13,,,,,,,,,,,,,,,,,,,,,,59.5,18,,,,,,,,,0.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4,Part 1 Cohort B10 (Pembro 10 mg/kg+Pa+C+B),Cohort B10 participants received pembrolizumab (Pembro 10 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS paclitaxel (Pa 200 mg/m^2 via IV infusion on Day 1 of each 3-week cycle PLUS carboplatin (C AUC 6 [6 mg/mL/min]) via IV infusion on Day 1 of each 3-week cycle PLUS bevacizumab (B 15 mg/kg) via IV infusion on Day 1 of each 3-week cycle.,13,7,6,,,,,8
NCT02039674,,NCT02039674_P5,"October 18, 2021","December 2, 2017",Completed,,,,,,12,,,,,,,,,,,,,,,,,,,,,,60.3,18,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B5,Part 1 Cohort C2 (Pembro 2 mg/kg+Pemetrexed [Pe]+C),Cohort C2 participants received pembrolizumab (Pembro 2 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS pemetrexed (Pe 500 mg/m^2) via IV infusion on Day 1 of each 3-week cycle PLUS carboplatin (C AUC 5 [5 mg/mL/min]) via IV infusion on Day 1 of each 3-week cycle.,12,6,6,,,,,8
NCT02039674,,NCT02039674_P6,"October 18, 2021","December 2, 2017",Completed,,,,,,12,,,,,,,,,,,,,,,,,,,,,,63.3,18,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B6,Part 1 Cohort C10 (Pembro 10 mg/kg+Pe+C),Cohort C10 participants received pembrolizumab (Pembro 10 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS pemetrexed (Pe 500 mg/m^2) via IV infusion on Day 1 of each 3-week cycle PLUS carboplatin (C AUC 6 [6 mg/mL/min]) via IV infusion on Day 1 of each 3-week cycle.,12,6,6,,,,,8
NCT02039674,,NCT02039674_P7,"October 18, 2021","December 2, 2017",Completed,,,,,,3,,,,,,,,,,,,,,,,,,,,,,69.3,18,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7,Part 1 Cohort D1 (Pembro 10 mg/kg+Ipilimumab [I]),Cohort D1 participants received pembrolizumab (Pembro 10 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS ipilimumab (I 1 mg/kg) via IV infusion on Day 1 of each 3-week cycle.,3,1,2,,,,,8
NCT02039674,,NCT02039674_P8,"October 18, 2021","December 2, 2017",Completed,,,,,,3,,,,,,,,,,,,,,,,,,,,,,59.3,18,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8,Part 1 Cohort D2 (Pembro 10 mg/kg+I),Cohort D2 participants received pembrolizumab (Pembro 10 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS ipilimumab (I 3 mg/kg) via IV infusion on Day 1 of each 3-week cycle.,3,2,1,,,,,8
NCT02039674,,NCT02039674_P9,"October 18, 2021","December 2, 2017",Completed,,,,,,12,,,,,,,,,,,,,,,,,,,,,,55.3,18,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B9,Part 1 Cohort D4 (Pembro 2 mg/kg+I),Cohort D4 participants received pembrolizumab (Pembro 2 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS ipilimumab (I 1 mg/kg) via IV infusion on Day 1 of each 3-week cycle.,12,8,4,,,,,8
NCT02039674,,NCT02039674_P10,"October 18, 2021","December 2, 2017",Completed,,,,,,12,,,,,,,,,,,,,,,,,,,,,,60.2,18,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B10,Part 1 Cohort E (Pembro 2 mg/kg+Erlotinib),Cohort E participants received pembrolizumab (Pembro 2 mg/kg) via IV infusion on Day 1 of each 3-week cycle PLUS erlotinib (E 150 mg) via oral tablet once a day on every day of each 3-week cycle.,12,6,6,,,,,8
