StudyID,Drug_Name,Arm_ID,Date_End,Results_Posted_Or_Updated_Date,Study_Status,Outcome,Termination,No_Amendment,No_Substan_Amend,No_Sub_Screen,No_Sub_Enroll,Screen_Failure,Reasons_Screen_Fail,Enroll_Rate,Time_FPI,Prop_Center_Enroll_Target,Completer,Withdrawer,Discont_AE,Discont_LE,Loss_FU,Protocol_Viol,Treat_Adherence,Visit_Adherence,Assess_Adherence,Med_Treat,Med_Follow_Up,Discont,Med_Discont,Missing_All,Missing_PE,Missing_Key_SE,Med_Age,Min_Age,Max_Age,Prop_NA,Prop_AP,Prop_EU,Prop_AF,Prop_White,Prop_Asian,Prop_Black,Prop_Male,Heter_Index,Prop_Renal,Prop_Hepatic,Prop_HighRisk,Line0,Line1,Line2,Line3,Lapsed,Refractory,Prop_ECOG0,Prop_ECOG1,Prop_ECOG2,Prop_ECOG3,TEAEs,TRAEs,SAEs,Grade34_TEAEs,Grade34_TRAEs,AE_Spec,Inc_TEAES,Inc_Grade34_TEAEs,Grade34_Lab,Death_rate,No_Dosage,Dosage_Level,Dosing_Frequency,Cycle_Length,Formulation,group_id_raw,group_title_raw,group_desc_raw,N_group,count_male,count_female,count_white,count_black,count_asian,count_other,Missing_K
NCT00585195,,NCT00585195_P1,"January 19, 2022","October 14, 2021",Completed,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,0.6667,0,0.3333,0,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,Low Dose Escalation Cohort: Crizotinib 50 mg QD,Participants received Crizotinib 50 milligram (mg) capsule or tablet orally once daily (QD) for up to 34 cycles (each cycle 28 days).,3,0,3,2,1,0,0,6
NCT00585195,,NCT00585195_P2,"January 19, 2022","October 14, 2021",Completed,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,0.75,0,0,0.75,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,Low Dose Escalation Cohort: Crizotinib 100 mg QD,"Participants received Crizotinib 100 mg capsule or tablet orally QD for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 100 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7.",4,3,1,3,0,0,1,6
NCT00585195,,NCT00585195_P3,"January 19, 2022","October 14, 2021",Completed,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,0.875,0.125,0,0.75,0.2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,Low Dose Escalation Cohort: Crizotinib 200 mg QD,Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally QD for up to 34 cycles (each cycle 28 days).,8,6,2,7,0,1,0,6
NCT00585195,,NCT00585195_P4,"January 19, 2022","October 14, 2021",Completed,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,0.8571,0,0,0.5714,0.2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4,Low Dose Escalation Cohort: Crizotinib 200 mg BID,Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally twice daily (BID) for up to 34 cycles (each cycle 28 days).,7,4,3,6,0,0,1,6
NCT00585195,,NCT00585195_P5,"January 19, 2022","October 14, 2021",Completed,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,1,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B5,Low Dose Escalation Cohort: Crizotinib 250 mg BID,Participants received Crizotinib 250 mg (2 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet BID for up to 34 cycles (each cycle 28 days).,8,4,4,8,0,0,0,6
NCT00585195,,NCT00585195_P6,"January 19, 2022","October 14, 2021",Completed,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,1,0,0,0.6667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B6,Low Dose Escalation Cohort: Crizotinib 300 mg BID,"Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet orally BID for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 300 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7.",6,4,2,6,0,0,0,6
NCT00585195,,NCT00585195_P7,"January 19, 2022","October 14, 2021",Completed,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,1,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7,High Dose Escalation Cohort: Crizotinib 300 mg QD,Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,6,3,3,6,0,0,0,6
NCT00585195,,NCT00585195_P8,"January 19, 2022","October 14, 2021",Completed,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,0.8,0,0.2,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8,High Dose Escalation Cohort: Crizotinib 400 mg QD,Participants received Crizotinib 400 mg (4 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,5,0,5,4,1,0,0,6
NCT00585195,,NCT00585195_P9,"January 19, 2022","October 14, 2021",Completed,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,0.6667,0,0.3333,1,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B9,High Dose Escalation Cohort: Crizotinib 500 mg QD,Participants received Crizotinib 500 mg (5 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,3,3,0,2,1,0,0,6
NCT00585195,,NCT00585195_P10,"January 19, 2022","October 14, 2021",Completed,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,0.8333,0,0,0.8333,0.2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B10,High Dose Escalation Cohort: Crizotinib 650 mg QD,Participants received Crizotinib 650 mg (6 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet twice daily (BID) for up to 7 cycles (each cycle 28 days).,6,5,1,5,0,0,1,6
